number,value,datetime_start,datetime_complete,duration,params_hmm_detector.lookback_days,params_hmm_detector.min_samples,params_hmm_detector.retrain_frequency,params_market_type.mean_reverting.min_regime_score,params_market_type.neutral.min_regime_score,params_market_type.trend_following.min_regime_score,params_position_sizing.max_size_adjustment,params_position_sizing.min_size_adjustment,params_risk.atr_stop_multiplier,params_risk.dynamic_target_atr_multiplier,params_risk.max_bars_held,params_risk.risk_per_trade,params_risk.trailing_stop_atr_multiplier,user_attrs_max_drawdown,user_attrs_profit_loss,user_attrs_trade_count,user_attrs_win_rate,state
0,0.35563011236091074,2025-03-30 01:17:03.794694,2025-03-30 01:17:24.090829,0 days 00:00:20.296135,20,300,5,45.0,45.0,75.0,2.0,0.9,3.0,1.5,8,0.009000000000000001,2.1,6.063086734571066,3770.262142857151,22,77.27272727272727,COMPLETE
1,0.4092921125352095,2025-03-30 01:17:24.091152,2025-03-30 01:17:44.659074,0 days 00:00:20.567922,30,250,7,40.0,50.0,65.0,1.5,0.8,1.7,1.1,14,0.008,1.2,1.3408597962079425,3854.6985714285765,14,78.57142857142857,COMPLETE
2,0.3127422441131297,2025-03-30 01:17:44.659387,2025-03-30 01:18:04.123836,0 days 00:00:19.464449,20,300,5,47.5,50.0,80.0,1.1,0.8,2.3,0.8,14,0.007,1.9,2.4944917927733816,1427.4028571428935,17,70.58823529411765,COMPLETE
3,0.1302386730284406,2025-03-30 01:18:04.124130,2025-03-30 01:18:17.054931,0 days 00:00:12.930801,25,200,11,42.5,47.5,72.5,2.0,0.8,1.6,0.8,20,0.01,1.7000000000000002,6.729206851130589,1297.3185714285355,22,72.72727272727273,COMPLETE
4,0.44568638314512554,2025-03-30 01:18:17.055294,2025-03-30 01:18:38.933983,0 days 00:00:21.878689,20,200,5,37.5,57.5,70.0,1.3,0.6,2.9000000000000004,1.9000000000000001,6,0.015,1.9,5.489412382564143,5446.158928571436,21,71.42857142857143,COMPLETE
5,0.3646069646291519,2025-03-30 01:18:38.934264,2025-03-30 01:19:00.409596,0 days 00:00:21.475332,35,150,7,45.0,57.5,77.5,1.8,0.5,1.7,0.8,20,0.011,2.2,1.324934798811031,3187.521785714336,13,84.61538461538461,COMPLETE
6,0.49704141715940414,2025-03-30 01:19:00.409925,2025-03-30 01:19:23.078407,0 days 00:00:22.668482,20,200,7,45.0,60.0,77.5,1.5,0.5,1.6,1.6,10,0.009000000000000001,2.3,3.359610479713547,3975.65285714285,22,77.27272727272727,COMPLETE
7,-0.007495842904604981,2025-03-30 01:19:23.078689,2025-03-30 01:19:34.996738,0 days 00:00:11.918049,30,150,9,35.0,55.0,65.0,1.3,0.7,2.7,1.8,12,0.013000000000000001,1.8,8.481003653322059,-129.8664285713894,15,66.66666666666666,COMPLETE
8,0.535383067166841,2025-03-30 01:19:34.997088,2025-03-30 01:19:55.838006,0 days 00:00:20.840918,20,175,7,47.5,55.0,80.0,1.9,0.9,1.8,1.7000000000000002,8,0.015,1.6,2.1377264502242284,9127.177142857166,15,86.66666666666667,COMPLETE
9,0.17361827508765892,2025-03-30 01:19:55.838300,2025-03-30 01:20:16.067814,0 days 00:00:20.229514,25,175,5,47.5,60.0,70.0,1.0,0.7,2.9000000000000004,1.8,20,0.007,1.8,2.7930621122470267,760.6857142857334,17,70.58823529411765,COMPLETE
10,0.42049550041431655,2025-03-30 01:20:16.068098,2025-03-30 01:20:23.924604,0 days 00:00:07.856506,40,250,15,50.0,52.5,80.0,1.8,0.9,2.1,1.2000000000000002,6,0.015,1.3,6.42625090704063,6367.002142857142,21,71.42857142857143,COMPLETE
11,-0.011576464800241323,2025-03-30 01:20:23.925006,2025-03-30 01:20:35.981520,0 days 00:00:12.056514,25,200,9,50.0,60.0,77.5,1.6,0.5,2.0,1.5,10,0.012,2.5,5.895930146017572,-157.01214285715105,14,71.42857142857143,COMPLETE
12,0.13175355459425903,2025-03-30 01:20:35.981918,2025-03-30 01:20:48.436187,0 days 00:00:12.454269,20,225,11,42.5,55.0,77.5,1.6,0.6,1.5,1.6,10,0.013000000000000001,1.5,6.52169947302569,1247.872500000005,17,70.58823529411765,COMPLETE
13,0.20934608842799776,2025-03-30 01:20:48.720234,2025-03-30 01:21:12.654084,0 days 00:00:23.933850,25,175,7,45.0,57.5,80.0,1.4,0.6,1.9,2.0,10,0.006,1.0,2.561991732031988,936.5225000000064,17,70.58823529411765,COMPLETE
14,0.05968266350985116,2025-03-30 01:21:12.654356,2025-03-30 01:21:25.905257,0 days 00:00:13.250901,35,175,13,47.5,55.0,75.0,1.8,0.5,2.4,1.7000000000000002,16,0.01,2.5,8.333969353810138,527.1603571428204,26,69.23076923076923,COMPLETE
15,0.2620070676567303,2025-03-30 01:21:25.905642,2025-03-30 01:21:40.176743,0 days 00:00:14.271101,20,225,9,40.0,60.0,75.0,1.7000000000000002,0.9,1.8,1.3,8,0.013000000000000001,2.2,5.701580959617712,2766.9800000000323,18,72.22222222222221,COMPLETE
16,0.6546229193854015,2025-03-30 01:21:40.177181,2025-03-30 01:22:01.215568,0 days 00:00:21.038387,25,250,7,47.5,52.5,77.5,1.2,0.7,2.1,1.4000000000000001,8,0.009000000000000001,1.5,1.7944427358963535,4628.888214285733,21,80.95238095238095,COMPLETE
17,0.25674046264559003,2025-03-30 01:22:01.215992,2025-03-30 01:22:22.813295,0 days 00:00:21.597303,25,275,7,50.0,52.5,80.0,1.2,0.8,2.2,1.0,8,0.011,1.5,1.7400000104685878,2615.7400000000343,11,81.81818181818183,COMPLETE
18,0.45424184030090203,2025-03-30 01:22:22.813599,2025-03-30 01:22:33.246703,0 days 00:00:10.433104,30,250,9,47.5,50.0,72.5,1.0,0.7,2.5,1.4000000000000001,6,0.014,1.5,7.525953633616528,5160.325000000004,33,72.72727272727273,COMPLETE
19,0.41118808887260294,2025-03-30 01:22:33.246957,2025-03-30 01:22:42.414564,0 days 00:00:09.167607,25,275,11,50.0,52.5,77.5,1.2,0.7,2.0,1.3,12,0.008,1.3,1.2048391243844863,3121.418571428607,14,85.71428571428571,COMPLETE
20,0.2305469588708939,2025-03-30 01:22:42.414827,2025-03-30 01:22:52.995246,0 days 00:00:10.580419,30,275,13,40.0,47.5,70.0,1.4,0.8,2.6,2.0,16,0.012,1.6,7.312271137454425,2765.412500000013,28,64.28571428571429,COMPLETE
21,0.5285104541764564,2025-03-30 01:22:52.995503,2025-03-30 01:23:15.444825,0 days 00:00:22.449322,20,200,7,45.0,55.0,77.5,1.5,0.6,1.5,1.6,8,0.009000000000000001,2.0,3.2839103206380713,4184.043571428578,22,77.27272727272727,COMPLETE
22,0.2751190070156769,2025-03-30 01:23:15.445090,2025-03-30 01:23:38.632581,0 days 00:00:23.187491,20,225,7,47.5,55.0,75.0,1.9,0.6,1.5,1.7000000000000002,8,0.008,2.0,3.575415589506926,1936.1421428571703,18,72.22222222222221,COMPLETE
23,0.6267046618252335,2025-03-30 01:23:38.632940,2025-03-30 01:24:02.420877,0 days 00:00:23.787937,25,175,5,45.0,55.0,80.0,1.6,0.7,1.8,1.5,6,0.009000000000000001,1.7000000000000002,2.2438452818566947,5425.521428571446,20,80.0,COMPLETE
24,0.4118588979043448,2025-03-30 01:24:02.421186,2025-03-30 01:24:21.610995,0 days 00:00:19.189809,25,150,5,42.5,52.5,80.0,1.7000000000000002,0.7,1.9,1.4000000000000001,6,0.01,1.6,2.563944053207972,4590.732500000013,17,76.47058823529412,COMPLETE
25,0.5806391168821694,2025-03-30 01:24:21.611262,2025-03-30 01:24:40.958104,0 days 00:00:19.346842,25,175,5,47.5,57.5,80.0,1.9,0.7,2.2,1.5,6,0.009000000000000001,1.3,2.8414943244531634,6107.800714285746,20,80.0,COMPLETE
26,0.5700861231835999,2025-03-30 01:24:40.958418,2025-03-30 01:25:05.640097,0 days 00:00:24.681679,35,225,5,45.0,57.5,80.0,1.6,0.7,2.2,1.3,6,0.009000000000000001,1.1,3.417201169252309,5247.156428571485,26,76.92307692307693,COMPLETE
27,0.4463284750948837,2025-03-30 01:25:05.640365,2025-03-30 01:25:30.239925,0 days 00:00:24.599560,25,175,5,42.5,57.5,77.5,1.4,0.7,2.1,1.1,6,0.007,1.3,2.2701741551869334,2445.8378571428475,22,77.27272727272727,COMPLETE
28,0.5075151203910198,2025-03-30 01:25:30.240202,2025-03-30 01:25:55.517880,0 days 00:00:25.277678,30,150,5,50.0,50.0,67.5,1.7000000000000002,0.7,2.3,1.5,6,0.006,1.4,1.4979979760670665,2492.4860714286115,22,72.72727272727273,COMPLETE
29,0.4807288222827119,2025-03-30 01:25:55.518148,2025-03-30 01:26:15.309351,0 days 00:00:19.791203,25,300,5,45.0,52.5,75.0,2.0,0.8,2.1,1.5,10,0.009000000000000001,1.1,4.985130027069299,5636.355714285717,22,77.27272727272727,COMPLETE
30,0.43121286151126315,2025-03-30 01:26:15.309666,2025-03-30 01:26:37.620433,0 days 00:00:22.310767,30,250,5,47.5,45.0,80.0,1.1,0.6,2.4,1.2000000000000002,8,0.008,1.4,2.495154053397934,2389.6885714285745,21,76.19047619047619,COMPLETE
31,0.49206198730148126,2025-03-30 01:26:37.620788,2025-03-30 01:27:03.255752,0 days 00:00:25.634964,35,225,5,45.0,57.5,80.0,1.6,0.7,2.2,1.3,6,0.009000000000000001,1.0,2.338670820982314,3499.559285714342,21,76.19047619047619,COMPLETE
32,0.10247785025333685,2025-03-30 01:27:03.256038,2025-03-30 01:27:28.088869,0 days 00:00:24.832831,40,225,5,45.0,57.5,80.0,1.6,0.7,2.0,1.4000000000000001,8,0.01,1.2,4.3241661506597655,778.5903571428935,15,66.66666666666666,COMPLETE
33,0.5121151762006023,2025-03-30 01:27:28.089267,2025-03-30 01:27:48.916216,0 days 00:00:20.826949,35,275,7,47.5,55.0,77.5,1.9,0.8,2.4,1.2000000000000002,6,0.008,1.1,4.161381942691992,4822.615714285777,25,76.0,COMPLETE
34,0.5047810918681613,2025-03-30 01:27:48.916526,2025-03-30 01:28:10.383752,0 days 00:00:21.467226,30,250,5,42.5,57.5,80.0,1.3,0.8,2.2,1.3,6,0.011,1.2,5.736201122809571,4933.412500000013,30,73.33333333333333,COMPLETE
35,0.24042885259166732,2025-03-30 01:28:10.384045,2025-03-30 01:28:37.265681,0 days 00:00:26.881636,25,200,7,45.0,52.5,80.0,1.5,0.7,1.9,1.5,6,0.007,1.7000000000000002,1.3923610441115435,1710.5257142857445,13,76.92307692307693,COMPLETE
36,0.4823941226523069,2025-03-30 01:28:37.265997,2025-03-30 01:29:00.296513,0 days 00:00:23.030516,35,175,5,47.5,57.5,77.5,1.7000000000000002,0.6,2.3,1.0,12,0.009000000000000001,1.4,5.191924782778371,5158.96750000005,26,80.76923076923077,COMPLETE
37,0.40875380214344653,2025-03-30 01:29:00.296808,2025-03-30 01:29:19.707993,0 days 00:00:19.411185,40,250,5,45.0,60.0,72.5,2.0,0.7,1.7,1.4000000000000001,18,0.01,1.1,9.025381784537064,5748.823214285636,29,68.96551724137932,COMPLETE
38,0.47576558823214166,2025-03-30 01:29:19.708304,2025-03-30 01:29:43.717630,0 days 00:00:24.009326,25,200,7,42.5,50.0,77.5,1.8,0.7,2.1,1.6,8,0.009000000000000001,1.7000000000000002,2.2261635259144033,6068.332857142843,15,86.66666666666667,COMPLETE
39,0.6414560497192313,2025-03-30 01:29:43.717939,2025-03-30 01:30:04.375933,0 days 00:00:20.657994,30,150,7,37.5,55.0,80.0,1.2,0.8,1.8,1.1,14,0.008,1.3,1.8570295008972608,3414.492142857169,23,82.6086956521739,COMPLETE
40,0.10835988801295382,2025-03-30 01:30:04.376209,2025-03-30 01:30:15.722138,0 days 00:00:11.345929,30,150,9,37.5,55.0,77.5,1.1,0.8,1.8,0.9,16,0.008,1.9,2.7686114879337245,436.26499999998487,17,64.70588235294117,COMPLETE
41,0.46879920549001214,2025-03-30 01:30:15.722442,2025-03-30 01:30:44.509805,0 days 00:00:28.787363,35,150,7,40.0,55.0,80.0,1.2,0.8,1.6,1.1,14,0.008,1.2,1.9653663234908723,2450.2664285714563,21,76.19047619047619,COMPLETE
42,0.454849304315948,2025-03-30 01:30:44.510186,2025-03-30 01:31:10.087798,0 days 00:00:25.577612,30,175,5,35.0,57.5,80.0,1.3,0.7,1.7,1.2000000000000002,14,0.009000000000000001,1.3,2.9474951410537455,3307.722142857172,21,71.42857142857143,COMPLETE
43,0.5195618434952348,2025-03-30 01:31:10.088251,2025-03-30 01:31:35.565748,0 days 00:00:25.477497,25,150,5,37.5,55.0,80.0,1.1,0.7,2.0,1.1,12,0.01,1.4,2.926876771985123,3226.0178571428696,21,76.19047619047619,COMPLETE
44,0.5558901727092896,2025-03-30 01:31:35.566026,2025-03-30 01:32:03.748411,0 days 00:00:28.182385,25,175,7,47.5,57.5,80.0,1.5,0.8,1.9,1.5,14,0.009000000000000001,1.5,3.5922260799978267,5072.889285714344,26,76.92307692307693,COMPLETE
45,0.2015098238838236,2025-03-30 01:32:03.748799,2025-03-30 01:32:18.783401,0 days 00:00:15.034602,30,150,9,37.5,52.5,77.5,1.4,0.6,2.5,1.0,6,0.007,1.6,3.7665488158350477,925.2703571428501,25,72.0,COMPLETE
46,0.5342877327656597,2025-03-30 01:32:18.783821,2025-03-30 01:32:44.694729,0 days 00:00:25.910908,35,175,7,45.0,55.0,80.0,1.2,0.7,2.2,1.3,10,0.011,1.2,3.5146712246534735,4887.758571428603,25,80.0,COMPLETE
47,0.5595539905192345,2025-03-30 01:32:44.696004,2025-03-30 01:33:11.962294,0 days 00:00:27.266290,25,200,5,45.0,60.0,75.0,1.0,0.9,1.6,1.7000000000000002,16,0.008,1.0,1.740527480339619,3180.0807142857666,21,76.19047619047619,COMPLETE
48,0.30386341484637125,2025-03-30 01:33:11.962591,2025-03-30 01:33:36.167735,0 days 00:00:24.205144,40,225,7,35.0,55.0,77.5,1.6,0.6,1.8,1.4000000000000001,18,0.01,1.3,4.274226013607467,2876.7410714285506,20,70.0,COMPLETE
49,0.15209598297363888,2025-03-30 01:33:36.168079,2025-03-30 01:33:44.023829,0 days 00:00:07.855750,20,150,15,47.5,57.5,65.0,1.3,0.7,2.0,1.6,8,0.006,1.8,1.1677458198181847,715.2957142857267,8,75.0,COMPLETE
50,0.19092042167395068,2025-03-30 01:33:44.024144,2025-03-30 01:33:57.816333,0 days 00:00:13.792189,30,200,9,42.5,52.5,80.0,1.9,0.9,3.0,0.9,6,0.007,1.4,4.597269845873277,1419.5053571428798,18,72.22222222222221,COMPLETE
51,0.36368674986985733,2025-03-30 01:33:57.816617,2025-03-30 01:34:21.174387,0 days 00:00:23.357770,25,200,5,45.0,60.0,75.0,1.0,0.9,1.6,1.8,16,0.008,1.0,1.459174665163038,2131.3453571428836,16,68.75,COMPLETE
52,0.34559622116192884,2025-03-30 01:34:21.174806,2025-03-30 01:34:44.256032,0 days 00:00:23.081226,25,175,5,45.0,60.0,75.0,1.0,0.9,1.7,1.7000000000000002,18,0.009000000000000001,1.1,2.1067752485829687,1772.1139285714235,18,72.22222222222221,COMPLETE
53,0.40126058956675376,2025-03-30 01:34:44.256327,2025-03-30 01:35:08.846137,0 days 00:00:24.589810,25,200,5,47.5,60.0,77.5,1.1,0.8,1.6,1.5,16,0.008,1.0,1.752472366401617,2439.3435714285806,17,70.58823529411765,COMPLETE
54,0.47312651104630327,2025-03-30 01:35:08.846419,2025-03-30 01:35:33.127302,0 days 00:00:24.280883,25,225,5,50.0,57.5,72.5,1.2,0.8,1.8,1.6,14,0.008,1.1,1.1016552521775682,3421.6492857143166,15,80.0,COMPLETE
55,0.1848015935901244,2025-03-30 01:35:33.127581,2025-03-30 01:35:52.478324,0 days 00:00:19.350743,20,200,11,47.5,60.0,77.5,1.8,0.9,2.3,1.9000000000000001,14,0.009000000000000001,1.3,5.193585229807055,1522.8575000000274,17,70.58823529411765,COMPLETE
56,0.515505826867964,2025-03-30 01:35:52.478916,2025-03-30 01:36:18.687979,0 days 00:00:26.209063,25,175,7,45.0,60.0,75.0,1.4,0.7,1.7,1.8,6,0.01,1.2,2.9168316230123117,4043.7192857142945,20,75.0,COMPLETE
57,0.40346505239438685,2025-03-30 01:36:18.688256,2025-03-30 01:36:40.531518,0 days 00:00:21.843262,25,250,5,40.0,57.5,80.0,1.0,0.7,2.1,1.9000000000000001,16,0.007,1.6,2.165940645646377,1685.329285714317,21,76.19047619047619,COMPLETE
58,0.5279198997450848,2025-03-30 01:36:40.532258,2025-03-30 01:37:05.382401,0 days 00:00:24.850143,30,175,7,42.5,55.0,80.0,1.5,0.7,1.6,1.3,8,0.009000000000000001,1.5,3.3547399538479246,4452.191428571459,22,77.27272727272727,COMPLETE
59,0.3169869834925043,2025-03-30 01:37:05.382707,2025-03-30 01:37:19.340869,0 days 00:00:13.958162,20,225,13,42.5,52.5,77.5,1.7000000000000002,0.9,1.5,1.7000000000000002,12,0.011,1.7000000000000002,4.695487274994571,3322.7092857142998,18,72.22222222222221,COMPLETE
60,0.4539902413402837,2025-03-30 01:37:19.341157,2025-03-30 01:37:45.191319,0 days 00:00:25.850162,30,200,7,50.0,55.0,75.0,1.1,0.8,1.9,1.4000000000000001,10,0.008,1.0,2.352871633700188,2470.9899999999834,21,76.19047619047619,COMPLETE
61,0.5546901624215589,2025-03-30 01:37:45.191622,2025-03-30 01:38:11.038637,0 days 00:00:25.847015,25,175,7,47.5,57.5,80.0,1.6,0.8,1.9,1.5,14,0.009000000000000001,1.5,3.821535345149849,5315.8575000000565,26,76.92307692307693,COMPLETE
62,0.3521714360548527,2025-03-30 01:38:11.038945,2025-03-30 01:38:36.623647,0 days 00:00:25.584702,25,175,7,47.5,57.5,80.0,1.3,0.7,2.0,1.5,14,0.009000000000000001,1.5,2.106182468538942,2180.0350000000326,18,72.22222222222221,COMPLETE
63,0.2801371001435952,2025-03-30 01:38:36.623958,2025-03-30 01:39:01.978780,0 days 00:00:25.354822,25,175,5,47.5,60.0,80.0,1.4,0.9,1.8,1.6,14,0.01,1.8,5.018606120868409,2414.6478571428743,17,70.58823529411765,COMPLETE
64,0.28363033504045754,2025-03-30 01:39:01.979052,2025-03-30 01:39:16.556697,0 days 00:00:14.577645,25,200,9,47.5,57.5,80.0,1.5,0.8,2.1,1.5,12,0.008,1.1,4.22258185425435,1629.4992857143297,21,71.42857142857143,COMPLETE
65,0.30419588491287486,2025-03-30 01:39:16.556991,2025-03-30 01:39:42.910980,0 days 00:00:26.353989,25,150,5,45.0,57.5,80.0,1.6,0.7,1.9,1.4000000000000001,6,0.009000000000000001,1.4,3.0669230795656035,2447.588928571444,18,72.22222222222221,COMPLETE
66,0.4495727263622212,2025-03-30 01:39:42.911522,2025-03-30 01:40:09.324252,0 days 00:00:26.412730,20,150,5,45.0,52.5,77.5,1.5,0.8,2.2,1.7000000000000002,16,0.007,1.6,2.8230039881639426,3000.5189285714514,22,72.72727272727273,COMPLETE
67,0.4122317018747023,2025-03-30 01:40:09.324537,2025-03-30 01:40:35.683388,0 days 00:00:26.358851,30,225,7,50.0,50.0,67.5,1.2,0.7,2.1,1.5,6,0.009000000000000001,1.3,3.9828571174195297,2813.8871428571438,29,68.96551724137932,COMPLETE
68,0.4890544968136542,2025-03-30 01:40:35.683669,2025-03-30 01:41:00.413948,0 days 00:00:24.730279,25,250,5,47.5,57.5,77.5,1.7000000000000002,0.8,1.7,1.2000000000000002,8,0.008,1.5,3.427533220484734,4125.286428571468,22,77.27272727272727,COMPLETE
69,0.21238591726017744,2025-03-30 01:41:00.414229,2025-03-30 01:41:24.076367,0 days 00:00:23.662138,35,300,5,45.0,55.0,80.0,1.8,0.7,2.4,1.3,18,0.009000000000000001,1.2,2.4626938367596747,2948.0442857143207,10,80.0,COMPLETE
70,0.15255638213310613,2025-03-30 01:41:24.076676,2025-03-30 01:41:39.462850,0 days 00:00:15.386174,25,175,9,47.5,60.0,80.0,1.4,0.6,1.8,1.4000000000000001,16,0.012,2.3,6.764342256825974,1309.5828571428501,20,65.0,COMPLETE
71,0.5546901624215589,2025-03-30 01:41:39.463211,2025-03-30 01:42:06.093564,0 days 00:00:26.630353,25,175,7,47.5,57.5,80.0,1.6,0.8,1.9,1.5,14,0.009000000000000001,1.5,3.821535345149849,5315.8575000000565,26,76.92307692307693,COMPLETE
72,0.3169271800676128,2025-03-30 01:42:06.093861,2025-03-30 01:42:35.646352,0 days 00:00:29.552491,25,175,7,47.5,57.5,80.0,1.5,0.8,1.9,1.6,14,0.01,1.6,3.0206555099038974,3502.7221428571793,15,73.33333333333333,COMPLETE
73,0.24352298840771142,2025-03-30 01:42:35.646642,2025-03-30 01:43:02.959299,0 days 00:00:27.312657,25,175,7,50.0,55.0,80.0,1.6,0.7,2.3,1.6,12,0.008,1.5,3.678699543440277,1792.332142857158,18,72.22222222222221,COMPLETE
74,0.5530844248252419,2025-03-30 01:43:02.959580,2025-03-30 01:43:29.379949,0 days 00:00:26.420369,25,200,7,45.0,57.5,77.5,1.7000000000000002,0.9,2.0,1.5,14,0.01,1.4,4.581851184530632,6626.720714285773,24,75.0,COMPLETE
